n,P,E
3.974000000000000e-06,5.383349891710969e-11,7.327349748465473e-08
4.830000000000000e-06,6.987741193688103e-11,8.907954258238905e-08
6.081000000000000e-06,9.505401390636835e-11,1.121397304828730e-07
7.930000000000000e-06,1.293386218824643e-10,1.463029718169234e-07
9.982000000000000e-06,1.758659696398013e-10,1.842374800514858e-07
1.257000000000000e-05,2.391777187101297e-10,2.319329143814911e-07
1.522000000000000e-05,3.089070329883666e-10,2.809593840881477e-07
1.991000000000000e-05,4.201036916869357e-10,3.676985227999249e-07
2.507000000000000e-05,5.711633035038598e-10,4.629784718452147e-07
2.791000000000000e-05,6.623667782854830e-10,5.159980476818252e-07
3.807000000000000e-05,9.765806440419278e-10,7.040067946338231e-07
5.063000000000000e-05,1.390883844098639e-09,9.366052267036400e-07
6.592000000000001e-05,1.926503709527928e-09,1.220115761930369e-06
8.433000000000000e-05,2.602816350669058e-09,1.561748175270873e-06
1.062000000000000e-04,3.443270563474003e-09,1.967713965149523e-06
1.321000000000000e-04,4.473783438205470e-09,2.447995896891204e-06
1.624000000000000e-04,5.720272065126167e-09,3.010358343526384e-06
1.690000000000000e-04,5.996721027928381e-09,3.133479115866631e-06
1.759000000000000e-04,6.285511462284264e-09,3.261036672795715e-06
1.830000000000000e-04,6.582940926727718e-09,3.391921818166427e-06
1.902000000000000e-04,6.891477715569474e-09,3.527243748125977e-06
1.977000000000000e-04,7.211121828809534e-09,3.665893266527155e-06
2.054000000000000e-04,7.539404972137163e-09,3.808979569517171e-06
2.079000000000000e-04,7.648009921809462e-09,3.855565807699967e-06
2.082000000000000e-04,7.661585540518499e-09,3.861111788436015e-06
2.091000000000000e-04,7.670224570606068e-09,3.876640534496947e-06
2.160000000000000e-04,7.845473466668185e-09,4.006416483720450e-06
2.231000000000000e-04,7.982463800913926e-09,4.137301629091162e-06
2.311000000000000e-04,8.121922429470399e-09,4.287043108964435e-06
2.401000000000000e-04,8.268785940959075e-09,4.454531727193058e-06
2.500000000000000e-04,8.420586041069221e-09,4.636439895335404e-06
2.643000000000000e-04,8.632859351792349e-09,4.902646970665666e-06
3.053000000000000e-04,9.216610956280951e-09,5.665773919945752e-06
3.533000000000000e-04,9.891689450266716e-09,6.557567622302131e-06
4.076000000000000e-04,1.066796801099257e-08,7.566936116262709e-06
4.680000000000000e-04,1.156025640432293e-08,8.689442617238648e-06
5.341000000000000e-04,1.257595951319000e-08,9.919541144493903e-06
6.059000000000000e-04,1.373605783923500e-08,1.125834089417568e-05
7.661000000000000e-04,1.650054746725714e-08,1.423098656869694e-05
1.262000000000000e-03,2.659587119815942e-08,2.344840655200728e-05
1.895000000000000e-03,4.229422301442799e-08,3.523916159684348e-05
2.673000000000000e-03,6.501487214473494e-08,4.972526327939860e-05
3.606000000000000e-03,9.623879517552071e-08,6.711745886764241e-05
4.710000000000000e-03,1.376074078234234e-07,8.769304739837729e-05
7.496000000000000e-03,2.578133407561718e-07,1.396477949336668e-04
1.120000000000000e-02,4.423183404835422e-07,2.087507149048141e-04
1.600000000000000e-02,7.109921762069439e-07,2.985956028287776e-04
2.207000000000000e-02,1.087530473309424e-06,4.122882079177439e-04
2.948000000000000e-02,1.598220566200299e-06,5.510486459336432e-04
4.268000000000000e-02,2.668226149903511e-06,7.988430652202291e-04
6.528915305942412e-02,6.472559447156923e-06,1.216356652226408e-03
6.984936149591607e-02,8.125411866735281e-06,1.301821932621707e-03
7.472808380507726e-02,1.014349434961334e-05,1.393384326267887e-03
7.994756701541432e-02,1.259790878395261e-05,1.491497592606469e-03
8.553161202896918e-02,1.557212039092485e-05,1.596652567060378e-03
9.150568215369984e-02,1.916390793015500e-05,1.709380679941672e-03
9.789701921644980e-02,2.348760980538952e-05,1.830257867298963e-03
1.047347677859854e-01,2.867671980521068e-05,1.959908923524719e-03
1.120501080725559e-01,3.488690261998692e-05,2.099012353305800e-03
1.198763981100026e-01,4.229952352204163e-05,2.248305790202801e-03
1.282493258687675e-01,5.112582316740510e-05,2.408592061609368e-03
1.372070719934393e-01,6.161192466689860e-05,2.580745996357871e-03
1.467904839069213e-01,7.404494786070359e-05,2.765722093833370e-03
1.570432620751389e-01,8.876064496282747e-05,2.964563205393405e-03
1.680121592816545e-01,1.061531955417971e-04,3.178410425456455e-03
1.797471938208847e-01,1.266881626356606e-04,3.408514459495721e-03
1.923018775820862e-01,1.509202083947544e-04,3.656248843693152e-03
2.057334600641703e-01,1.795181503851008e-04,3.923125559915425e-03
2.201031894340612e-01,2.133015554333167e-04,4.210813859100240e-03
2.354765918190246e-01,2.532956903556384e-04,4.521163539427600e-03
2.519237701065439e-01,3.008157669201620e-04,4.856234621026623e-03
2.695197236142742e-01,3.575974209318301e-04,5.218336454648437e-03
2.883446900877736e-01,4.259976726594446e-04,5.610080947760525e-03
3.084845115855212e-01,5.092951306045071e-04,6.034456808942561e-03
3.300310259196711e-01,6.121066943509587e-04,6.494933963802001e-03
3.530824854375050e-01,7.408814663963355e-04,6.995607562296202e-03
3.777440050532391e-01,9.042977207282567e-04,7.541384743829854e-03
4.041280415732134e-01,1.113215729175188e-03,8.138199189298690e-03
4.323549065001910e-01,1.379866607763233e-03,8.793211920899074e-03
4.625533146551619e-01,1.716464412728289e-03,9.514946248351343e-03
4.948609711183725e-01,2.134077822821465e-03,1.031333843786567e-02
5.294251991660338e-01,2.642493821205692e-03,1.119974526552555e-02
5.664036120661210e-01,3.250971711795139e-03,1.218697624043242e-02
6.059648317966411e-01,3.969271127426264e-03,1.328939382539521e-02
6.482892579637468e-01,4.808507710264069e-03,1.452308798302719e-02
6.935698904259664e-01,5.781741519495472e-03,1.590611326148421e-02
7.420132093757249e-01,6.904380683482118e-03,1.745877651291489e-02
7.938401168913405e-01,8.194503780823341e-03,1.920396956996500e-02
8.492869442529831e-01,9.673172887986074e-03,2.116754703653509e-02
9.086065296159591e-01,1.136477840390216e-02,2.337875325580431e-02
9.720693709555480e-01,1.329743816582070e-02,2.587070496257821e-02
1.039964859540800e+00,1.550346447086845e-02,2.868093780323681e-02
1.112602599561975e+00,1.801990931572013e-02,3.185202629206665e-02
1.190313819929123e+00,2.088919771685907e-02,3.543228813457462e-02
1.273452884679638e+00,2.415985991704359e-02,3.947658532773658e-02
1.362398908882242e+00,2.788737493314384e-02,4.404723612262626e-02
1.457557487405960e+00,3.213513996722440e-02,4.921505385799122e-02
1.559362544437274e+00,3.697558258779640e-02,5.506053088637633e-02
1.668278312179278e+00,4.249143528118005e-02,6.167518835913077e-02
1.784801447755753e+00,4.877719500487628e-02,6.916311555866222e-02
1.909463297973214e+00,5.594079379741661e-02,7.764272581733074e-02
2.042832322268319e+00,6.410551037646327e-02,8.724875990182498e-02
2.185516684889282e+00,7.341215706279577e-02,9.813457213808745e-02
2.338167028131672e+00,8.402158138569293e-02,1.104747395834938e-01
2.501479439274586e+00,9.611752744917135e-02,1.244680403103507e-01
2.676198624746466e+00,1.099099086749232e-01,1.403408534514594e-01
2.863121305994746e+00,1.256385510072231e-01,1.583510411932398e-01
3.063099852544639e+00,1.435774742047649e-01,1.787923815207629e-01
3.277046168813709e+00,1.640397886106849e-01,2.019996303777116e-01
3.505935852406270e+00,1.873832959634689e-01,2.283543031811360e-01
3.750812642849409e+00,2.140168955918846e-01,2.582912785299171e-01
4.012793181056951e+00,2.444079119596886e-01,2.923063417006879e-01
4.293072101224562e+00,2.790904762571793e-01,3.309648024028573e-01
4.592927478375104e+00,3.186751138817003e-01,3.749113405712168e-01
4.913726656395052e+00,3.638597115568213e-01,4.248812560603693e-01
5.256932483138023e+00,4.154420629094299e-01,4.817133233705000e-01
5.624109981027379e+00,4.743342200121310e-01,5.463644814370242e-01
6.016933483576056e+00,5.415789112281282e-01,6.199266215820444e-01
6.437194270366179e+00,6.183683232653725e-01,7.036457745533630e-01
6.886808735304076e+00,7.060655883410474e-01,7.989440408539352e-01
7.367827125398001e+00,8.062293665600835e-01,9.074446580770144e-01
7.882442889907530e+00,9.206419699192797e-01,1.031000655609269e+00
8.433002682496749e+00,1.051341538788272e+00,1.171727611875063e+00
9.022017062001400e+00,1.200658855464908e+00,1.332041103447774e+00
9.652171940605301e+00,1.371259463800037e+00,1.514699520196245e+00
1.032634083163008e+01,1.566191860474433e+00,1.722853017708950e+00
1.104759795278818e+01,1.788942634049635e+00,1.960099489310194e+00
1.181923224465014e+01,2.043499554420836e+00,2.230548567072052e+00
1.264476236825053e+01,2.334423760080738e+00,2.538894806644415e+00
1.352795275022178e+01,2.666932356299027e+00,2.890501377119438e+00
1.447283074862190e+01,3.046992926955105e+00,3.291495767543570e+00
1.548370501773234e+01,3.481431679790713e+00,3.748879239555293e+00
1.656518515557009e+01,3.978057193233488e+00,4.270652004925913e+00
1.772220272370621e+01,4.545802017212346e+00,4.865956392051502e+00
1.896003373524205e+01,5.194884705728226e+00,5.545240591882103e+00
2.028432271348823e+01,5.936995231293321e+00,6.320445947322392e+00
2.170110843105425e+01,6.785507157502439e+00,7.205221177600033e+00
2.321685144671948e+01,7.755720433726895e+00,8.215167418259718e+00
2.483846356565370e+01,8.865139234122822e+00,9.368118517212697e+00
2.657333935732614e+01,1.013378990200751e+01,1.068446166785155e+01
2.842938987482555e+01,1.158458479183769e+01,1.218750419330036e+01
3.041507872935090e+01,1.324373863786224e+01,1.390389313476630e+01
3.253946068437355e+01,1.514124503629354e+01,1.586409525698158e+01
3.481222294546034e+01,1.731142172402143e+01,1.810294618236728e+01
3.724372933403972e+01,1.979353459148750e+01,2.066027862284022e+01
3.984506754654385e+01,2.263251180324240e+01,2.358164111703743e+01
4.262809971442887e+01,2.587976104312835e+01,2.691912032737991e+01
4.560551649562724e+01,2.959410478195982e+01,3.073228183585870e+01
4.879089494409085e+01,3.384285061834579e+01,3.508924653406076e+01
5.219876042130919e+01,3.870301620719534e+01,4.006792217107792e+01
5.584465283212086e+01,4.426273111045444e+01,4.575741244757425e+01
5.974519748685410e+01,5.062284113219778e+01,5.225962927692510e+01
