n,P,E
1.090459483178377e-01,2.203311687982437e-08,1.994324832097437e-03
1.196218566223749e-01,8.118182251797122e-06,2.185635961230570e-03
1.312234778322643e-01,2.085129830521735e-05,2.395636977963983e-03
1.439502915320401e-01,4.019467390704294e-05,2.626432751880855e-03
1.579114254131163e-01,6.883505190562861e-05,2.880516397462641e-03
1.732265910031307e-01,1.103794804614230e-04,3.160898719854662e-03
1.900271101477470e-01,1.695884409014756e-04,3.471285285599846e-03
2.084570410466102e-01,2.526132606736508e-04,3.816309727297984e-03
2.286744134988011e-01,3.672003910671688e-04,4.201824671550986e-03
2.508525839495553e-01,5.228183205960483e-04,4.635238886362652e-03
2.751817219572686e-01,7.306819272149837e-04,5.125875561106765e-03
3.018704408266945e-01,1.003703623244557e-03,5.685323170916632e-03
3.311475863903972e-01,1.356469758280896e-03,6.327767493204377e-03
3.632641992766070e-01,1.805373310912519e-03,7.070326995376651e-03
3.984956674891868e-01,2.368996042486119e-03,7.933443118627898e-03
4.371440877572829e-01,3.068753139258029e-03,8.941383425237610e-03
4.795408559023613e-01,3.929754029239365e-03,1.012290168519748e-02
5.260495084340486e-01,4.981826940548939e-03,1.151208192873819e-02
5.770688397404212e-01,6.260685911998165e-03,1.314938607338441e-02
6.330363216014783e-01,7.809256652706030e-03,1.508292821276975e-02
6.944318543468561e-01,9.679205123807733e-03,1.737000848160496e-02
7.617818818225738e-01,1.193272903586712e-02,2.007895160719301e-02
8.356639054510979e-01,1.464468294663785e-02,2.329130826295071e-02
9.167114360911384e-01,1.790511729093742e-02,2.710449124441755e-02
1.005619426157511e+00,2.182232341888057e-02,3.163493402357526e-02
1.103150228579476e+00,2.652649198717721e-02,3.702187725904318e-02
1.210140133693422e+00,3.217411157927798e-02,4.343191019551208e-02
1.327506540121275e+00,3.895325880929785e-02,5.106441943861834e-02
1.456255821122295e+00,4.708996108098965e-02,6.015812828183738e-02
1.597491953869270e+00,5.685584952585662e-02,7.099894666917553e-02
1.752425985641941e+00,6.857736359095322e-02,8.392939627491948e-02
1.922386418106772e+00,8.264682173660041e-02,9.935992859061493e-02
2.108830598724340e+00,9.953573651953621e-02,1.177825181557413e-01
2.313357216961494e+00,1.198108291463907e-01,1.397869903478889e-01
2.537720012458610e+00,1.441532910091345e-01,1.660806361022016e-01
2.783842812694374e+00,1.733819509230825e-01,1.975117777369859e-01
3.053836029090516e+00,2.084811405918335e-01,2.350980845473399e-01
3.350014753004369e+00,2.506342118124397e-01,2.800605985932996e-01
3.674918606775756e+00,3.012638526329769e-01,3.338646256904817e-01
4.031333520043471e+00,3.620805827321031e-01,3.982688806715957e-01
4.422315618055191e+00,4.351410887068681e-01,4.753845575423965e-01
4.851217426804226e+00,5.229183973583239e-01,5.677463338502013e-01
5.321716619692272e+00,6.283862910391075e-01,6.783977260211971e-01
5.837847552210288e+00,7.551208576133510e-01,8.109937025668045e-01
6.404035855035504e+00,9.074226553512209e-01,9.699240517086738e-01
7.025136382167559e+00,1.090463680323198e+00,1.160461709340054e+00
7.706474839494880e+00,1.310464174861822e+00,1.388941106649588e+00
8.453893450740873e+00,1.574905339648788e+00,1.662972623446348e+00
9.273801052358177e+00,1.892785244133402e+00,1.991700468454087e+00
1.017322804691637e+01,2.274926712616876e+00,2.386112793957468e+00
1.115988668618773e+01,2.734347747372737e+00,2.859414640163644e+00
1.224223720083621e+01,3.286707196900595e+00,3.427476455832990e+00
1.342956034374714e+01,3.950840960573045e+00,4.109373529945310e+00
1.473203696902938e+01,4.749407129273553e+00,4.928034783219752e+00
1.616083532905079e+01,5.709662201923092e+00,5.911023115071021e+00
1.772820683804621e+01,6.864395018553372e+00,7.091474009658531e+00
1.944759112343531e+01,8.253050466436667e+00,8.509224528812082e+00
2.133373126562652e+01,9.923081532800540e+00,1.021217134599797e+01
2.340280021444501e+01,1.193157611975306e+01,1.225790432817847e+01
2.567253946615902e+01,1.434721447367032e+01,1.471567162102740e+01
2.816241119020817e+01,1.725262443669179e+01,1.766874356191538e+01
3.089376511006385e+01,2.074721539231065e+01,2.121725642475902e+01
3.389002156916330e+01,2.495058821986059e+01,2.548163346099556e+01
3.717687235163870e+01,3.000663835899098e+01,3.060670050686863e+01
4.078250097980569e+01,3.608849289490445e+01,3.676663725910437e+01
4.473782437737908e+01,4.340445122636832e+01,4.417093399742524e+01
4.907675797058845e+01,5.220513335587457e+01,5.307155803814302e+01
5.383650650033739e+01,6.279208132959634e+01,6.377157572351145e+01
5.905788303901112e+01,7.552810927968915e+01,7.663552571281085e+01
6.478565894738472e+01,9.084975759871087e+01,9.210189945953466e+01
7.106894777238070e+01,1.092822790700341e+02,1.106981570997272e+02
7.796162637745705e+01,1.314576717735813e+02,1.330587940246781e+02
8.552279691666266e+01,1.581363782727124e+02,1.599470781572989e+02
9.381729361361351e+01,1.902333965633544e+02,1.922812039942224e+02
1.029162386908339e+02,2.288496998598959e+02,2.311657611454110e+02
1.128976522163475e+02,2.753100447137630e+02,2.779295976107942e+02
1.238471210967265e+02,3.312084664793745e+02,3.341713776499186e+02
1.358585329529673e+02,3.984630253026938e+02,4.018143983716198e+02
1.490348811718996e+02,4.793816836884924e+02,4.831725471766644e+02
1.634891480361529e+02,5.767415792288494e+02,5.810296648541566e+02
1.793452735051853e+02,6.938844163940082e+02,6.987350396111508e+02
1.967392179543131e+02,8.348312552182584e+02,8.403183114275058e+02
2.158201279843358e+02,1.004420641295873e+03,1.010627732915223e+03
2.367516152981331e+02,1.208474823645187e+03,1.215496535236316e+03
2.597131596101333e+02,1.453999772271840e+03,1.461943113168386e+03
2.849016476180742e+02,1.749425868840679e+03,1.758411905282191e+03
3.125330612331673e+02,2.104897541673048e+03,2.115063243338314e+03
3.428443295446153e+02,2.532621798364306e+03,2.544122127467852e+03
3.760953603983793e+02,3.047287633478236e+03,3.060297908293428e+03
4.125712690102399e+02,3.666570724591171e+03,3.681289293448943e+03
4.525848227226714e+02,4.411740761148115e+03,4.428392027695854e+03
4.964791228684130e+02,5.308392277902047e+03,5.327230123764621e+03
5.446305467367158e+02,6.387324109370204e+03,6.408635766416406e+03
5.974519748685410e+02,7.685597689649539e+03,7.709708120924745e+03
