n,P,E
1.616083532905076e-01,4.117310649623512e-06,2.948348563061701e-03
1.732265910031307e-01,1.069388538163297e-05,3.160828856318784e-03
1.856800791517530e-01,1.913438119333738e-05,3.389121340132175e-03
1.990288649920848e-01,2.987641948903586e-05,3.634511694715247e-03
2.133373126562652e-01,4.348385820452251e-05,3.898413701161030e-03
2.286744134988007e-01,6.070635788705313e-05,4.182389465925877e-03
2.451141187536885e-01,8.257823082346747e-05,4.488176651311097e-03
2.627356961066937e-01,1.105839136612541e-04,4.817726932118202e-03
2.816241119020811e-01,1.469320891267080e-04,5.173262676214496e-03
3.018704408266945e-01,1.949912085192363e-04,5.557362829244650e-03
3.235723050467587e-01,2.599159672771909e-04,5.973093106092923e-03
3.468343449148144e-01,3.493666481291980e-04,6.424195171682452e-03
3.717687235163870e-01,4.739243119015867e-04,6.915333841494488e-03
3.984956674891860e-01,6.465230683044249e-04,7.452361034669577e-03
4.271440467225118e-01,8.806248011864797e-04,8.042511497455782e-03
4.578519957320094e-01,1.188147681481663e-03,8.694462842450484e-03
4.907675797058844e-01,1.578713491471221e-03,9.418290776474655e-03
5.260495084340486e-01,2.060495559282655e-03,1.022542743561266e-02
5.638679015625806e-01,2.641667932988448e-03,1.112870599912510e-02
6.044051088633421e-01,3.331592867565002e-03,1.214250641614911e-02
6.478565894738458e-01,4.141556367813553e-03,1.328298056036259e-02
6.944318543468561e-01,5.085201539909388e-03,1.456833454234491e-02
7.443554764539153e-01,6.178833940729455e-03,1.601915706284891e-02
7.978681736137476e-01,7.441707747830551e-03,1.765879218206473e-02
8.552279691666266e-01,8.896347512504307e-03,1.951376050720448e-02
9.167114360911366e-01,1.056893140789035e-02,2.161423587024135e-02
9.826150305621563e-01,1.248974960699726e-02,2.399458643219843e-02
1.053256521380058e+00,1.469374748534845e-02,2.669399060041013e-02
1.128976522163472e+00,1.722116313854121e-02,2.975713956750038e-02
1.210140133693422e+00,2.011827009876321e-02,3.323503985552494e-02
1.297138704327711e+00,2.343823823756587e-02,3.718593106517978e-02
1.390391716973861e+00,2.724212833003038e-02,4.167633614289797e-02
1.490348811718996e+00,3.160003854279147e-02,4.678226393308434e-02
1.597491953869267e+00,3.659242420890636e-02,5.259058662489965e-02
1.712337757852507e+00,4.231161572059240e-02,5.920061798505001e-02
1.835439978189272e+00,4.886356327901054e-02,6.672592205052172e-02
1.967392179543131e+00,5.636984167190931e-02,7.529638630865845e-02
2.108830598724340e+00,6.496995329774589e-02,8.506059839829468e-02
2.260437212446770e+00,7.482397342198359e-02,9.618857111970665e-02
2.422943025629932e+00,8.611558825307809e-02,1.088748671523654e-01
2.597131596101327e+00,9.905558399261456e-02,1.233421824740671e-01
2.783842812694374e+00,1.138858536942371e-01,1.398454561982109e-01
2.983976944958687e+00,1.308839987282766e-01,1.586765845647814e-01
3.198498984009451e+00,1.503686130865330e-01,1.801698283270659e-01
3.428443295446153e+00,1.727053518956782e-01,2.047080159909042e-01
3.674918606775756e+00,1.983139005919990e-01,2.327296605399710e-01
3.939113353388330e+00,2.276759785358413e-01,2.647371247105649e-01
4.222301408861956e+00,2.613445307454159e-01,3.013059898973439e-01
4.525848227226705e+00,2.999542842904314e-01,3.430958067619241e-01
4.851217426804226e+00,3.442338721473168e-01,3.908624320211150e-01
5.199977847368091e+00,3.950197574858463e-01,4.454721862180979e-01
5.573811114652816e+00,4.532722260137824e-01,5.079181021113068e-01
5.974519748685410e+00,5.200937538198472e-01,5.793385733216705e-01
