n,P,E
1.655058223494531e+44,6.691382363621350e-06,3.025854470443553e-03
1.733459817716636e+44,1.941111212606552e-05,3.169794337590260e-03
1.815575365858496e+44,3.593723407187915e-05,3.321241659312680e-03
1.901580801252267e+44,5.712549904739426e-05,3.480751959017332e-03
1.991660391350035e+44,8.397105873898008e-05,3.648950864403993e-03
2.086007132518553e+44,1.176118698124035e-04,3.826544136551800e-03
2.184823163535772e+44,1.593251711893825e-04,4.014328177498645e-03
2.288320198675064e+44,2.105163353112074e-04,4.213200689729966e-03
2.396719981305086e+44,2.727008368618047e-04,4.424171144450908e-03
2.510254758976860e+44,3.474817947620807e-04,4.648370774593879e-03
2.629167781016574e+44,4.365269849096549e-04,4.887061947569686e-03
2.753713819689380e+44,5.415498118268403e-04,5.141646968682391e-03
2.884159716051409e+44,6.642981569993239e-04,5.413676572367822e-03
3.020784951659232e+44,8.065534568487496e-04,5.704858522405418e-03
3.163882247361720e+44,9.701403801463603e-04,6.017066827308354e-03
3.313758190457203e+44,1.156945752320461e-03,6.352352075938150e-03
3.470733891559639e+44,1.368944367167641e-03,6.712953331315255e-03
3.635145672581111e+44,1.608229122951508e-03,7.101311921867185e-03
3.807345787304682e+44,1.877043318034084e-03,7.520087371596506e-03
3.987703176091428e+44,2.177813630550187e-03,7.972175635185907e-03
4.176604256338625e+44,2.513183020927403e-03,8.460729759108443e-03
4.374453750382641e+44,2.886043379633794e-03,8.989183073883888e-03
4.581675552620344e+44,3.299568144206949e-03,9.561275029350022e-03
4.798713637706824e+44,3.757245344483188e-03,1.018107980683304e-02
5.026033011775248e+44,4.262911646059965e-03,1.085303787318875e-02
5.264120708716874e+44,4.820787995224802e-03,1.158199067751052e-02
5.513486833655721e+44,5.435517460803002e-03,1.237321872930859e-02
5.774665655853591e+44,6.112205844897549e-03,1.323248333595864e-02
6.048216753386964e+44,6.856465610516397e-03,1.416607231689044e-02
6.334726212048389e+44,7.674463657572736e-03,1.518085005255907e-02
6.634807881040378e+44,8.572973473112044e-03,1.628431226819805e-02
6.949104688153688e+44,9.559432187737318e-03,1.748464599631764e-02
7.278290017245742e+44,1.064200308766488e-02,1.879079520849635e-02
7.623069150971964e+44,1.182964415984706e-02,2.021253265691041e-02
7.984180781860478e+44,1.313218328522648e-02,2.176053851984042e-02
8.362398594967781e+44,1.456040074174503e-02,2.344648650374350e-02
8.758532925506238e+44,1.612611973371982e-02,2.528313811799398e-02
9.173432494994865e+44,1.784230572738060e-02,2.728444590771694e-02
9.607986229653158e+44,1.972317544372646e-02,2.946566650593034e-02
1.006312516493384e+45,2.178431643959560e-02,3.184348444916746e-02
1.053982444027509e+45,2.404281829632304e-02,3.443614779162015e-02
1.103910538834586e+45,2.651741653311342e-02,3.726361665242133e-02
1.156203772326079e+45,2.922865046995281e-02,4.034772593984357e-02
1.210974183245267e+45,3.219903638332384e-02,4.371236361587026e-02
1.268339117711306e+45,3.545325742809962e-02,4.738366599582422e-02
1.328421480634385e+45,3.901837194183017e-02,5.139023172164440e-02
1.391349999040656e+45,4.292404190437346e-02,5.576335620521016e-02
1.457259497871090e+45,4.720278349777707e-02,6.053728851117422e-02
1.526291188845204e+45,5.189024189993600e-02,6.574951283855902e-02
