Masa,Radio,rho_m
4.884908558377189e-02,1.996312103678018e+01,1.000000000000000e+13
4.991293584487402e-02,1.993959171023445e+01,1.054951085238559e+13
5.093345235918120e-02,1.990339857453291e+01,1.112921792246013e+13
5.190206137383789e-02,1.985522765234047e+01,1.174078052515578e+13
5.283541863301643e-02,1.979573753838980e+01,1.238594915656082e+13
5.372602631946716e-02,1.972556035857832e+01,1.306657050442345e+13
5.458462874398625e-02,1.964530269657853e+01,1.378459273398766e+13
5.541493552436901e-02,1.955554648895469e+01,1.454207106429189e+13
5.621559736862313e-02,1.945684988975840e+01,1.534117365089097e+13
5.697903674368149e-02,1.934974810554054e+01,1.618418779184061e+13
5.790093090152204e-02,1.931390956877956e+01,1.707352647470689e+13
5.859281259318053e-02,1.918942584828112e+01,1.801173528334137e+13
5.924951036943289e-02,1.905806799914078e+01,1.900149968419061e+13
6.004641143321909e-02,1.899333706400293e+01,2.004565271299702e+13
6.080309169085635e-02,1.891875603895150e+01,2.114718308389146e+13
6.135701863671081e-02,1.876564391934189e+01,2.230924374408979e+13
6.204247332471415e-02,1.867486188367710e+01,2.353516089867914e+13
6.268919732836427e-02,1.857580738646446e+01,2.482844353132566e+13
6.329709312167671e-02,1.846897935361142e+01,2.619279344815627e+13
6.387488811307200e-02,1.835485578921599e+01,2.763211587356187e+13
6.441200336222436e-02,1.823389449926226e+01,2.915053062825182e+13
6.491998654939134e-02,1.810653379008940e+01,3.075238392155410e+13
6.539830303375886e-02,1.797319314248759e+01,3.244226079171630e+13
6.584417374300014e-02,1.783427386226224e+01,3.422499822981345e+13
6.627151159476555e-02,1.769015970809376e+01,3.610569902482960e+13
6.677270657101483e-02,1.759421211230476e+01,3.808974636954076e+13
6.714245113802052e-02,1.743939353061465e+01,4.018281926900847e+13
6.758882977003448e-02,1.733070280279447e+01,4.239090879578535e+13
6.800357176211093e-02,1.721557235462861e+01,4.472033523836252e+13
6.831211895663497e-02,1.704679392141695e+01,4.717776619194289e+13
6.869164280259378e-02,1.692124869258726e+01,4.977023564332114e+13
6.906126418263402e-02,1.679040292898160e+01,5.250516410450043e+13
6.940654490930512e-02,1.665461401180235e+01,5.539037985267134e+13
6.974471708060544e-02,1.651422313727310e+01,5.843414133735187e+13
6.998466802274514e-02,1.632790305486474e+01,6.164516081882268e+13
7.030130282945303e-02,1.618037036468119e+01,6.503262930552246e+13
7.062059897990056e-02,1.602913879197417e+01,6.860624286177781e+13
7.095057724004612e-02,1.587449092433710e+01,7.237623036117292e+13
7.130070452732662e-02,1.571669573740611e+01,7.635338276499530e+13
7.166851731025040e-02,1.555600906777876e+01,8.054908400956684e+13
7.205941100695876e-02,1.539267407247522e+01,8.497534359086438e+13
7.242975651014381e-02,1.519239350867895e+01,8.964483093970178e+13
7.288793343239994e-02,1.502535722943436e+01,9.457091168586591e+13
7.333769783728784e-02,1.482358352475090e+01,9.976768591500412e+13
7.386918700029849e-02,1.465358365118675e+01,1.052500285277733e+14
7.444934742767019e-02,1.445092078457290e+01,1.110336318167641e+14
7.512725084862901e-02,1.424842921925728e+01,1.171350503830739e+14
7.587257567868083e-02,1.404621273778213e+01,1.235717485210970e+14
7.673259727061646e-02,1.381576398856929e+01,1.303621502071576e+14
7.783813319273078e-02,1.358729945949189e+01,1.375256918350729e+14
7.917629346064632e-02,1.333374295951065e+01,1.450828778495943e+14
8.088439575166677e-02,1.305728364698568e+01,1.530553394369628e+14
8.325424245263906e-02,1.273432220818140e+01,1.614658964405798e+14
8.692057407334065e-02,1.236888349450531e+01,1.703386226790064e+14
9.523293396671988e-02,1.184319064952877e+01,1.796989148532592e+14
1.113824795982773e-01,1.131264211944742e+01,1.895735652406379e+14
1.360871358334067e-01,1.096276145289085e+01,1.999908383831537e+14
1.686142135700522e-01,1.080228987446702e+01,2.109805519900772e+14
2.079180586276919e-01,1.081641953728537e+01,2.225741622861630e+14
2.530126591136599e-01,1.090620300485479e+01,2.348048540498507e+14
3.026325140500542e-01,1.106515714453756e+01,2.477076355991714e+14
3.543288002578988e-01,1.124695509092100e+01,2.613194389972233e+14
4.039430613032773e-01,1.140994838638023e+01,2.756792257640521e+14
4.521633919917906e-01,1.157389732737996e+01,2.908280983975135e+14
5.023142654592849e-01,1.173796644570188e+01,3.068094180223232e+14
5.539797758477374e-01,1.188338747284082e+01,3.236689285040605e+14
6.073256502063279e-01,1.202837939011471e+01,3.414548873833601e+14
6.623358472151063e-01,1.215519608662329e+01,3.602182040050870e+14
7.190210451878988e-01,1.226454159784668e+01,3.800125852378511e+14
7.774722470063887e-01,1.237315334501203e+01,4.008946892009813e+14
8.377153907434711e-01,1.246469516559988e+01,4.229242874389499e+14
8.998865980628794e-01,1.253978965781214e+01,4.461644360074661e+14
9.642188246980002e-01,1.261376650747227e+01,4.706816559609259e+14
1.030996615338829e+00,1.267156018054176e+01,4.965461237578607e+14
1.100649666187047e+00,1.272758798518572e+01,5.238318721293548e+14
1.173636359368969e+00,1.275401845582606e+01,5.526170019854088e+14
1.250603183131697e+00,1.279178568501509e+01,5.829839059657881e+14
1.331966467279033e+00,1.280057574360810e+01,6.150195042752220e+14
1.417914919891849e+00,1.280644422347342e+01,6.488154934780258e+14
1.508186931831450e+00,1.279634023538826e+01,6.844686089642342e+14
1.601743772316313e+00,1.277027353952698e+01,7.220809018385486e+14
1.696493109371356e+00,1.273950998963533e+01,7.617600310246140e+14
1.790009871029879e+00,1.268113994543056e+01,8.036195714207746e+14
1.879816817179203e+00,1.261748062370708e+01,8.477793389892916e+14
1.963557345218025e+00,1.254771687660931e+01,8.943657337095849e+14
2.039318612772342e+00,1.246129540045219e+01,9.435121013771062e+14
2.106091098000805e+00,1.235873574115052e+01,9.953591152834912e+14
2.163446418584248e+00,1.224993349039961e+01,1.050055178870411e+15
2.211392180084674e+00,1.213468462212129e+01,1.107756850509709e+15
2.250249574737535e+00,1.201291055215564e+01,1.168629291625670e+15
2.280606006418069e+00,1.189293373682690e+01,1.232846739442068e+15
2.303137496363925e+00,1.175798087768191e+01,1.300593005707229e+15
2.318587958405427e+00,1.162454051114532e+01,1.372062002824526e+15
2.327689201302278e+00,1.149198994910156e+01,1.447458298894318e+15
2.331141672925207e+00,1.135268737077024e+01,1.526997703256124e+15
2.329626632294447e+00,1.122067767133621e+01,1.610907884206835e+15
2.323749280749952e+00,1.108162973612257e+01,1.699429020663351e+15
2.314087577646868e+00,1.094861034280428e+01,1.792814489634711e+15
2.301145941813771e+00,1.080850258587941e+01,1.891331591471551e+15
2.285408623027308e+00,1.067921259902806e+01,1.995262314968883e+15
