Masa,Radio,rho_m
1.788296031713460e-02,3.567956922015389e+00,2.002200371815584e+14
4.181190798764710e-02,4.692482955799820e+00,2.119969607252904e+14
7.657433180761938e-02,5.685127615534857e+00,2.244666017917402e+14
1.234432608476775e-01,6.596868847429209e+00,2.376697059597088e+14
1.852764458410811e-01,7.473429638565299e+00,2.516494154590662e+14
2.620327716198186e-01,8.294902920243697e+00,2.664514101415417e+14
3.542621824502004e-01,9.063252116860864e+00,2.821240567433949e+14
4.643623928139765e-01,9.799369904326408e+00,2.987185669277157e+14
5.930536809696129e-01,1.050323087454573e+01,3.162891646227445e+14
7.354776007436853e-01,1.113864672656655e+01,3.348932632030238e+14
8.927692060619239e-01,1.172598398291125e+01,3.545916530923259e+14
1.063390859726479e+00,1.226631568958008e+01,3.754487004013675e+14
1.245153513762955e+00,1.276053336828523e+01,3.975325572493757e+14
1.428878692161606e+00,1.317738276127253e+01,4.209153844567484e+14
1.613954853484634e+00,1.353588911396535e+01,4.456735873364761e+14
1.796641142056567e+00,1.383796060627407e+01,4.718880653547942e+14
1.969916786041107e+00,1.407088230548145e+01,4.996444764768418e+14
2.136884511369056e+00,1.426604662279179e+01,5.290335170611260e+14
2.287982722715406e+00,1.439667192436012e+01,5.601512182173334e+14
2.424101886100708e+00,1.447924462835504e+01,5.930992595958885e+14
2.543530688269829e+00,1.451582256300957e+01,6.279853016345829e+14
2.648208893172284e+00,1.452086980177056e+01,6.649233373479191e+14
2.737406428773387e+00,1.449541069621754e+01,7.040340648086708e+14
2.808232034015874e+00,1.442925749782105e+01,7.454452815387724e+14
2.866476503560356e+00,1.434697967871285e+01,7.892923020982434e+14
2.912353080551589e+00,1.424880044207159e+01,8.357184002366569e+14
2.944004503201419e+00,1.412498093922362e+01,8.848752770518990e+14
2.966840087659638e+00,1.399670667934696e+01,9.369235566860148e+14
2.979179260266396e+00,1.385408815294377e+01,9.920333111778039e+14
2.983797058259290e+00,1.370680965008772e+01,1.050384616187212e+15
2.979416820839199e+00,1.354600708308667e+01,1.112168139407377e+15
2.970326996161134e+00,1.338897495096832e+01,1.177585763587009e+15
2.955181296728792e+00,1.322669375656555e+01,1.246851246198900e+15
2.936034157205105e+00,1.306665360017710e+01,1.320190917910058e+15
2.911804997340565e+00,1.290078163880262e+01,1.397844422135798e+15
2.885612589232883e+00,1.274290377373945e+01,1.480065498094338e+15
2.856306333480596e+00,1.258486348530735e+01,1.567122809920559e+15
2.824208633651800e+00,1.242609980070815e+01,1.659300824548222e+15
2.790653804740861e+00,1.227206537850939e+01,1.756900741229066e+15
2.756688394472570e+00,1.212718054981599e+01,1.860241475726175e+15
2.721356192102943e+00,1.198421424342509e+01,1.969660702397480e+15
2.684810082208505e+00,1.184227823747118e+01,2.085515957574533e+15
2.649497569503594e+00,1.171516623742290e+01,2.208185807841898e+15
2.612990960232050e+00,1.158625293857793e+01,2.338071087034640e+15
2.577473085716128e+00,1.146824992310977e+01,2.475596205995888e+15
2.542743576686918e+00,1.135884632720084e+01,2.621210539374164e+15
2.508086145317790e+00,1.125203522205707e+01,2.775389893992110e+15
2.474582132709104e+00,1.115412131073295e+01,2.938638063584408e+15
2.442550736146925e+00,1.106649005436305e+01,3.111488474985299e+15
2.411298624399206e+00,1.098329279847741e+01,3.294505931144677e+15
2.381610678946291e+00,1.090930129112982e+01,3.488288456668230e+15
2.353265019091233e+00,1.084209582293369e+01,3.693469251912076e+15
2.326468322217341e+00,1.078244344740516e+01,3.910718762017050e+15
2.301732600740658e+00,1.073352587796112e+01,4.140746867643406e+15
2.278425398616874e+00,1.068988857068233e+01,4.384305204564320e+15
2.256995829193553e+00,1.065435686489299e+01,4.642189619697670e+15
2.237483410574024e+00,1.062667659244230e+01,4.915242771601294e+15
2.219614582758649e+00,1.060422848676120e+01,5.204356883929314e+15
2.203959950917827e+00,1.059101860968023e+01,5.510476660846305e+15
2.189935204386110e+00,1.058210426955190e+01,5.834602373925952e+15
2.178009839768864e+00,1.058086216069596e+01,6.177793130620766e+15
2.167851502205354e+00,1.058445352709307e+01,6.541170334982878e+15
2.159593252540629e+00,1.059378875784260e+01,6.925921351944112e+15
2.153318220228723e+00,1.060940539750728e+01,7.333303387128645e+15
2.148470670125981e+00,1.062699661557716e+01,7.764647594875928e+15
2.145304026890237e+00,1.064868199024132e+01,8.221363427896951e+15
2.143638821725364e+00,1.067328039811861e+01,8.704943242777207e+15
2.143479349068957e+00,1.070096461659810e+01,9.216967176374576e+15
2.144602677778374e+00,1.073049610782157e+01,9.759108309046626e+15
2.146960211363450e+00,1.076188183569777e+01,1.033313813157843e+16
2.150326697219655e+00,1.079389390158663e+01,1.094093233367454e+16
2.154488809986048e+00,1.082541904827712e+01,1.158447693292956e+16
2.159618592041298e+00,1.085836864882978e+01,1.226587476430406e+16
2.165208913335103e+00,1.088953568194985e+01,1.298735235131105e+16
2.171400010227064e+00,1.092060787086895e+01,1.375126718136476e+16
2.178058091557222e+00,1.095117400894088e+01,1.456011540906491e+16
2.184820918061198e+00,1.097923801454927e+01,1.541654001258738e+16
2.191784736449012e+00,1.100606717362272e+01,1.632333942983296e+16
2.198796613147877e+00,1.103118658873140e+01,1.728347670255360e+16
