Masa,Radio,rho_m
9.108727074838494e-03,2.520925125664152e+00,2.899422853882881e+14
1.924765468098649e-02,3.207330114632206e+00,3.062347235564878e+14
3.329853973465376e-02,3.817809612483623e+00,3.234426664814673e+14
5.084225125442569e-02,4.356850363317791e+00,3.416175582105224e+14
7.200402511464808e-02,4.846095487577830e+00,3.608137335350792e+14
9.732958486509373e-02,5.305085853113691e+00,3.810885804274015e+14
1.278187085900208e-01,5.751384248167226e+00,4.025027116049411e+14
1.629554797098726e-01,6.168727973161436e+00,4.251201457352340e+14
2.040997714084145e-01,6.573701367588931e+00,4.490084988230624e+14
2.519898399431061e-01,6.965988295183064e+00,4.742391863520446e+14
3.102269385997871e-01,7.374633761621904e+00,5.008876367849669e+14
3.778889883139767e-01,7.768238734809269e+00,5.290335170611260e+14
4.581447899416669e-01,8.160294848337811e+00,5.587609707648201e+14
5.547838539701029e-01,8.562621723822231e+00,5.901588696770040e+14
6.701708161310338e-01,8.972316833598146e+00,6.233210794621366e+14
8.020281600081997e-01,9.360979979021881e+00,6.583467402845042e+14
9.515105475108413e-01,9.740172414340529e+00,6.953405631929388e+14
1.109829143070844e+00,1.007198210233624e+01,7.344131431599851e+14
1.273996409363416e+00,1.036932114497416e+01,7.756812897113696e+14
1.434181410543974e+00,1.060991284094496e+01,8.192683761341985e+14
1.584983181543826e+00,1.079622512870629e+01,8.653047083078669e+14
1.724310645647997e+00,1.094136931238765e+01,9.139279142603140e+14
1.847292109352858e+00,1.103679762807990e+01,9.652833556142274e+14
1.952452165077872e+00,1.108533513446617e+01,1.019524562153232e+15
2.043321853828431e+00,1.110891950630060e+01,1.076813690807225e+15
2.118010612250630e+00,1.109937591356010e+01,1.137322010429017e+15
2.179003400084812e+00,1.106764054366454e+01,1.201230413811547e+15
2.227062658532084e+00,1.101489748298684e+01,1.268729958476363e+15
2.264752075115651e+00,1.095058747414793e+01,1.340022437850100e+15
2.291298696132190e+00,1.086720495944409e+01,1.415320984536504e+15
2.310678967860195e+00,1.078123406394898e+01,1.494850707487526e+15
2.322062990065323e+00,1.068498782398628e+01,1.578849364978324e+15
2.326245698764543e+00,1.057901148252699e+01,1.667568075398096e+15
2.325192628768685e+00,1.047056440815336e+01,1.761272067981665e+15
2.318260209484408e+00,1.035301873155180e+01,1.860241475726175e+15
2.308266295167863e+00,1.023927823726695e+01,1.964772172863369e+15
2.294437993836226e+00,1.012255844990761e+01,2.075176659391117e+15
2.278130582032674e+00,1.000841411724700e+01,2.191784995308534e+15
2.258683328145612e+00,9.890732497087681e+00,2.314945787347646e+15
2.237291611860215e+00,9.774694074466005e+00,2.445027231151494e+15
2.214911912680411e+00,9.664594818097454e+00,2.582418212014298e+15
2.190873464102201e+00,9.554574789469156e+00,2.727529467474435e+15
2.165380991969278e+00,9.444211120541761e+00,2.880794815235830e+15
2.139239140873750e+00,9.337404673368400e+00,3.042672450088728e+15
2.113087697628523e+00,9.237329553735458e+00,3.213646313707028e+15
2.086350926101538e+00,9.138767688840211e+00,3.394227541417284e+15
2.059618480093226e+00,9.044745974413864e+00,3.584955990264556e+15
2.032887498559101e+00,8.954170688726787e+00,3.786401852943341e+15
2.006606194253036e+00,8.869420498515627e+00,3.999167362418517e+15
1.980716632481867e+00,8.789166342805718e+00,4.223888592332358e+15
1.955564403274990e+00,8.715262457807013e+00,4.461237358580023e+15
1.930705964683786e+00,8.643345544810121e+00,4.711923227738394e+15
1.906810890378726e+00,8.578018996546776e+00,4.976695638352539e+15
1.883770844020191e+00,8.517710723154025e+00,5.256346141421530e+15
1.861795609319089e+00,8.463514592184932e+00,5.551710766781637e+15
1.840770276053741e+00,8.413842396901165e+00,5.863672522461348e+15
1.821123298008053e+00,8.371785806713037e+00,6.193164034480146e+15
1.802449462530105e+00,8.333317942525881e+00,6.541170334982878e+15
1.785116492775524e+00,8.301143232200113e+00,6.908731807044984e+15
1.768973769001929e+00,8.273477433313792e+00,7.296947294952225e+15
1.754099932982211e+00,8.250584532383900e+00,7.706977389253272e+15
1.740544914217532e+00,8.232560826475023e+00,8.140047896405982e+15
1.728341495960178e+00,8.219361704351414e+00,8.597453503390051e+15
1.717674135165371e+00,8.212395013843700e+00,9.080561648241598e+15
1.708179300774679e+00,8.208186003810830e+00,9.590816608080848e+15
1.700176722592721e+00,8.209468590948685e+00,1.012974381685432e+16
1.693312657714350e+00,8.212948278385594e+00,1.069895442569940e+16
1.687845941055997e+00,8.220952652602703e+00,1.130015011956536e+16
1.683567243603035e+00,8.231607483706778e+00,1.193512820448953e+16
1.680533474701275e+00,8.245581246767012e+00,1.260578698073796e+16
1.678654440282695e+00,8.262206766067813e+00,1.331413141787353e+16
1.677830820156975e+00,8.280831487844660e+00,1.406227914871759e+16
1.677951776451134e+00,8.300823276112720e+00,1.485246680012423e+16
1.678921325099035e+00,8.321575157002410e+00,1.568705667949350e+16
1.680818065403437e+00,8.344276044959390e+00,1.656854383701322e+16
1.683405557842227e+00,8.367269460668592e+00,1.749956352474224e+16
1.686557722678342e+00,8.389927837916687e+00,1.848289907483466e+16
1.690412377497160e+00,8.413933529647933e+00,1.952149022045712e+16
1.694555346083069e+00,8.436259488235308e+00,2.061844188427525e+16
1.699187584672081e+00,8.459151987316085e+00,2.177703346078264e+16
1.704077536680368e+00,8.481126357819056e+00,2.300072862022262e+16
1.709082302328719e+00,8.501528187505038e+00,2.429318566341200e+16
1.714282706967740e+00,8.521510308001668e+00,2.565826845842305e+16
1.719526249392531e+00,8.540289423660424e+00,2.710005799181965e+16
1.724740481408557e+00,8.557694236550159e+00,2.862286456898054e+16
1.729851013970654e+00,8.573531480957600e+00,3.023124069998315e+16
1.734841653499029e+00,8.588061039324989e+00,3.192999470957106e+16
1.739689011026708e+00,8.601438220129873e+00,3.372420511189288e+16
1.711497039435926e+00,8.397087077158707e+00,3.561923579298646e+16
1.623616834354710e+00,7.959524400399141e+00,3.762075204639734e+16
1.527452832846864e+00,7.544455449464074e+00,3.973473750987075e+16
1.432798087800227e+00,7.150750710516615e+00,4.196751205375025e+16
1.342678990051227e+00,6.777334990114287e+00,4.432575067456137e+16
1.258019324541026e+00,6.423185027242899e+00,4.681650345026359e+16
1.178974809396152e+00,6.087327187570212e+00,4.944721661682793e+16
1.105384849997708e+00,5.768835239734114e+00,5.222575482914963e+16
1.036954691808928e+00,5.466828213072405e+00,5.516042467284621e+16
9.733393976739746e-01,5.180468335860219e+00,5.825999949723050e+16
9.141834210975093e-01,4.908959052837663e+00,6.153374564369828e+16
8.591403288334212e-01,4.651543120576870e+00,6.499145014794158e+16
8.078827518158376e-01,4.407500779048144e+00,6.864344999880479e+16
7.601064927367538e-01,4.176147997592872e+00,7.250066304125467e+16
7.155317569631151e-01,3.956834793391629e+00,7.657462061585008e+16
6.739029045091121e-01,3.748943620425001e+00,8.087750203228896e+16
6.349870571323279e-01,3.551887826857886e+00,8.542217098009307e+16
5.985727311074539e-01,3.365110178732204e+00,9.022221398528200e+16
5.644678032335019e-01,3.188081447825180e+00,9.529198102800485e+16
5.324979303262967e-01,3.020299061517589e+00,1.006466284425580e+17
5.025047922987339e-01,2.861285812516884e+00,1.063021642280408e+17
