Masa,Radio,rho_m
1.854476331652068e-05,3.174510974312698e-01,2.769999999999998e+14
2.146457403203324e-02,3.319655917068991e+00,2.926548620937914e+14
6.918216287951466e-02,4.861932546049936e+00,3.091944704228730e+14
1.428245833448867e-01,6.133594484644349e+00,3.266688270821980e+14
2.439190093891540e-01,7.258900109074800e+00,3.451307600724958e+14
3.736157880037262e-01,8.280305716704081e+00,3.646360830084526e+14
5.300638481298294e-01,9.202370292513656e+00,3.852437638529209e+14
7.101004393907585e-01,1.002933016956868e+01,4.070161031872556e+14
9.093280216905111e-01,1.076514129111940e+01,4.300189225567448e+14
1.118833288536737e+00,1.139819115567947e+01,4.543217634605236e+14
1.335339429450306e+00,1.194830342704432e+01,4.799980975875371e+14
1.544764936777144e+00,1.239006913129938e+01,5.071255489341606e+14
1.744110427896639e+00,1.274355865508153e+01,5.357861284749645e+14
1.931821569333924e+00,1.302700518633899e+01,5.660664820960552e+14
2.103584881002719e+00,1.324380655843183e+01,5.980581525405710e+14
2.252249421020684e+00,1.338477767398835e+01,6.318578561582261e+14
2.383602576502781e+00,1.347919632434046e+01,6.675677752955399e+14
2.496347263932063e+00,1.352939525701149e+01,7.052958672107392e+14
2.589952436077124e+00,1.353781043404816e+01,7.451561904472206e+14
2.667992961818418e+00,1.351793130124340e+01,7.872692496522225e+14
2.730643430826701e+00,1.347113762574224e+01,8.317623598832276e+14
2.778430327202427e+00,1.339890348083735e+01,8.787700315033672e+14
2.812134964867582e+00,1.330277906121198e+01,9.284343768295085e+14
2.838365287050941e+00,1.320313949060593e+01,9.809055397623655e+14
2.851916448842137e+00,1.308136365809135e+01,1.036342149697442e+15
2.858957595602946e+00,1.295645675650479e+01,1.094911801089124e+15
2.859759323750583e+00,1.282800261600249e+01,1.156791560117699e+15
2.852445553965250e+00,1.268774793188215e+01,1.222168499991001e+15
2.841934555341153e+00,1.255168862319560e+01,1.291240266499066e+15
2.824346899038439e+00,1.240412453716115e+01,1.364215675531534e+15
2.804083528163679e+00,1.225985863756329e+01,1.441315344364152e+15
2.781191052886965e+00,1.211793943796395e+01,1.522772358622942e+15
2.754181909965981e+00,1.197117899064761e+01,1.608832976942365e+15
2.726429523051292e+00,1.183184835495601e+01,1.699757375447697e+15
2.696396976618875e+00,1.169267543698617e+01,1.795820434312452e+15
