method,config,chi2,time_s,success
leastsq,all_free,0.04490950236077882,3.6461,True
leastsq,fixed_A_sigma,0.03216937200914199,3.6048,True
leastsq,fixed_A_omega,0.02460323895863127,3.022,True
leastsq,fixed_A_rho,0.11810762297654237,7.2076,True
leastsq,fixed_b,0.041452958966987835,2.6389,True
leastsq,fixed_c,0.04426418979798308,3.6696,True
nelder,all_free,0.046521627504215235,19.7366,True
nelder,fixed_A_sigma,0.05599254395364918,20.7102,True
nelder,fixed_A_omega,0.04760206254384068,10.3491,True
nelder,fixed_A_rho,0.06716164849904245,46.9564,True
nelder,fixed_b,0.04705570999700415,21.7725,True
nelder,fixed_c,0.04821639790727463,32.5418,True
differential_evolution,all_free,0.028546825072243702,716.0683,False
differential_evolution,fixed_A_sigma,0.019372768155047123,178.2718,True
differential_evolution,fixed_A_omega,0.021918029132239968,129.5789,True
differential_evolution,fixed_A_rho,0.06716164849882268,148.5113,True
differential_evolution,fixed_b,0.023224580303078925,180.6246,True
differential_evolution,fixed_c,0.029253501482874804,128.249,True
lbfgsb,all_free,0.11270916731577092,18.2492,False
lbfgsb,fixed_A_sigma,0.09442345617174437,18.4453,False
lbfgsb,fixed_A_omega,0.11759629013477749,21.0401,False
lbfgsb,fixed_A_rho,0.1115809352555798,40.3349,False
lbfgsb,fixed_b,0.11747140849038928,12.7893,False
lbfgsb,fixed_c,0.11330880127671103,20.383,False
powell,all_free,0.027787947549486658,19.9766,True
powell,fixed_A_sigma,0.04477652805632092,16.5632,True
powell,fixed_A_omega,0.027670358925174998,13.2862,True
powell,fixed_A_rho,0.09889083605033508,216.6979,True
powell,fixed_b,0.027786914355076894,13.3452,True
powell,fixed_c,0.02778794863700895,13.4492,True
cg,all_free,0.15568911161043625,14.0377,False
cg,fixed_A_sigma,0.15568911161043625,14.1129,False
cg,fixed_A_omega,0.11981464030836725,15.7311,False
cg,fixed_A_rho,0.15568911161043625,17.1827,False
cg,fixed_b,0.15568911161043625,15.2448,False
cg,fixed_c,0.15568911161043625,11.9597,False
